,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
27085,Prix des prestations (notation sur 20,Dont montants totaux estimés
27087,Valeur technique,Prix
27088,Le prix,la valeur technique et thérapeutique
27089,Valeur technique (voir rubrique renseignements complémentaires,Prix ( (voir rubrique renseignements complémentaires
27090,Valeur technique,Prix des prestations
27091,prix,valeur technique
27093,Coût global de la prestation,Valeur technique jugée par une note de 0 à 10 selon les critères suivants : La capacité du site de livraison à accueillir les déchets verts dans de bonnes conditions : jours et heures douverture
27096,Valeur Technique de loffre,Délai dexécution ou de livraison
27098,Valeur technique (spécificités de lentreprise,Valeur technique (spécificités de lentreprise
27099,Prix des prestations,Valeur technique
27100,La qualité technique des prestations,Le critère prix
27102,Prix,Valeur technique
27103,Valeur technique (au regard de la qualité de la note méthodologique 60% et des moyens humains affectés à la mission 40%,Prix
27104,Prix des prestations,Valeur technique
27106,1. Prix des prestations,2. Valeur technique
27108,Valeur technique appréciée au regard du questionnaire technique et du mémoire technique en %,Coût annuel apprécié au vu du DQE en %
27110,Valeur technique (Qualité de la note méthodologique (50 %,Prix des prestations
27111,Prix analysé à partir du total de la DPGF,Valeur technique de loffre jugée à partir des éléments du mémoire technique
27113,Valeur technique (au regard de la qualité de la note méthodologique 60% et des moyens humains affectés à la mission 40%,Prix
27119,1- Valeur technique (sous critère 1 : Qualité et pertinence de la note méthodologique proposée : 70 % - sous-critère 2 : composition et complémentarité de léquipe dédiée à létude : 30 % ,2- Prix des prestations
27122,Prix des prestations,Valeur technique ( appréciée sur la base de sous critères
27129,Valeur technique - Expertise de léquipe projet : 15 - Moyens techniques et logistiques (équipements,Prix global
27131,Qualité technique des prestations proposées,Prix
27132,Prix des prestations,Valeur technique
27134,Valeur technique des prestations,Prix des prestations
27135,Prix,Valeur technique appréciée au regard de la qualité du mémoire technique
27136,Pour le lot 1 : Coût des prestations de contrôle COFRAC et non COFRAC (Coût complet de lunité doeuvre : (inclus Prix du contrôle +Frais de déplacement +Frais de séjour,Pour le lot 1 : Qualité de la prestation proposée (Structure SAV : 5% - Qualification et expériences des techniciens : 20% - Qualité des rapports présentés : 15%
27137,Prix des dispositifs médicaux,Performance technique et scientifique du produit (Matériaux
27138,Valeur technique appréciée au vu du mémoire technique,Prix des prestations
27141,Lot 1 : Critère 1 : Valeur technique de loffre (mémoire technique (Notation sur 64 points,Critère 2 : Prix des prestations (DQE
27144,Prix des prestations,Valeur technique et méthodologique
27146,Valeur technique,Prix des prestations
27147,Valeur technique,Prix des prestations
27148,Prix des prestations (lots 1 à 9 ,Qualité de la note proposée (lots 1 à 9
27151,Prix des prestations,Méthodologie : Analyse de la partie 1 du mémoire technique
27152,En ce qui concerne les lots pour lesquels aucun échantillon nest demandé : Prix,et disponibilité des produits
27153,Valeur technique,Prix
27155,valeur technique de loffre,Prix
27157,Valeur technique (voir le détail à larticle 7.2 du RC,Prix
27158,Organisation et moyens,Qualité technique
27160,Le prix,La valeur technique
27162,Prix des prestations,Valeur technique
27164,Lots 1,Lots 1
27166,Prix,Valeurs techniques
27167,Valeur technique de loffre (mémoire technique(note sur 20,Prix des prestations (note sur 20
27169,Valeur technique (appréciée sur 4 sous critères pondéés : voir dans renseignements complémentaires,Prix des prestations
27172,Valeur technique : au regard du mémoire technique : - Architecture technique et services associés (15 - Services de supervision et de support (15  - Engagements proposés sur chacun des accès en terme de garantie de taux de disponibilité et de temps de rétablissement ainsi que les pénalités associées en cas de non-respect des engagements (15 - Méthodologie et planning de migration (10,Prix des prestations
27176,Prix,Délai
27178,Prix des prestations,Valeur technique
27179,Valeur technique de loffre (mémoire technique(note sur 20,Prix des prestations (note sur 20
27181,Prix,Valeur technique
27184,Le prix,La valeur environnementale
27185,Prix,Valeur technique
27186,Valeur technique de loffre,Prix
27187,Prix,Valeur technique (nature et étendue des garanties / modalités et procédures de gestion du sinistre / délais
27189,Valeur technique au vu du mémoire technique : (références 15 %,Prix
27192,Le prix,La valeur environnementale
27193,Le prix des prestations,La valeur technique
27194,Qualité technique de la proposition,Prix
27195,Prix,Qualité
27196,Prix,Valeur technique
27197,Conformité avec le C.C.T.P et valeur technique de loffre,Prix de loffre
27198,Prix des prestations,Valeur technique : au regard de lannexe 1 de lacte dengagement
27203,Le prix,La valeur technique
27205,Prix des prestations,Valeur technique
27206,Prix détaillés (40% prix + 15% coût horaire,Qualité de la prestation
27207,Caractéristiques techniques des matériels appréciées au vu du mémoire et du questionnaire technique- Durée de cycle (15%- Conception du laveur (20% - ergonomie 10 % - performance environnementale consommation eau,Coût global apprécié au vu du bordereau de renseignements et de prix
27209,Prix,Valeur technique ( 10 points : process dintervention - 10 points : process de sécurité - 10 points : recyclage des matériels déposés - 10 points : fiches matériels
27210,PRIX,DELAI
27213,proposition de prestation,Qualité de lorganisation proposée par le prestataire
27215,Prix,Valeur technique
27216,Montant des honoraires,Valeur technique appréciée à travers la qualité de la note technique
27217,Valeur technique,Prix des prestations
27220,% Partie 1 du mémoire technique (prise en compte des spécificités du chantier-Partie 2 du mémoire technique (déchets,% Prix des prestations:Prix de loffre-Cohérence des prix
27221,Prix,Valeur technique
27222,Valeur technique,Prix
27223,Lots 1 et 2 : Critère 1 : qualité des denrées (échantillons (notation sur 20,Dont aspect général du produit (couleur
27224,PRIX,VALEUR TECHNIQUE
27225,Le prix,La qualité du mémoire technique
27226,le prix,la valeur environnementale (SOPRE pour 10% et SOGED pour 10%
27227,prix (la base du DPGF : 40%; sur la base du DEF 20%,Valeur technique ( Moyens materiel et humains pour réaliser la mission 20%; Plannification : 15%; Procédure de ramassage et dévacuation 5%
27229,Prix des prestations,Valeur technique
27230,Le prix,La valeur technique
27234,Valeur technique,Forfait de rémunération
27237,Prix des prestations,Valeur technique (Qualité du DPGF
27241,La valeur technique des équipements,Les prix
27244,valeur technique appréciée au regard du mémoire technique sur 4 sous-critères pondérés (voir rubrique renseignements complémentaires,Prix
27246,Prix des prestations,Valeur technique
27247,Valeur technique : au regard du mémoire technique : - Qualité des équipes techniques et des CV et notamment connaissance du domaine fonctionnel et des technologies du projet VIGIEsip (30 - Méthodologie de développement et organisation du travail (20 - Délais de mobilisation (10,Prix des prestations
27248,Prix des prestations (coût des fournitures neuves,Valeur technique (caractéristiques et performances du matériel
27250,Coût global des prestations,Valeur technique
27252,Lot 1 : Valeur technique (qualité de la recommandation stratégique proposée 60% et qualité fonctionnelle et esthétique des 2 cas pratiques 40% : 40 %,Lot 1 : Prix des prestations : 30%
27254,Valeur technique (dont Adéquation,Prix des prestations
27257,Valeur technique,Prix
27258,Valeur technique,Prix
27260,Gestion de lénergie,Gestion des opérations préalables à lexécution des prestations
27261,Coût de la prestation,Dispositif mis en place pour réaliser la prestation (moyens humains et matériels
27262,Valeur technique (évaluée sur la note méthodologique fournie par les candidats,Prix des prestations (évalué sur les prix fournis pour les tranches fermes et conditionnelles
27263,Valeur technique et méthodologique,Prix des prestations
27267,Valeur technique au vu du mémoire technique,Prix des prestations
27268,Prix analysé à partir du total de la DPGF et du DQE,Valeur technique de loffre jugée à partir de la note méthodologique
27270,Qualité technique,Prix des prestations
27271,Qualité et pertinence de la note méthologique et de sa présentation lors de laudition du candidat,Prix et répartition entre les membres de léquipe
27274,le prix,caractéristiques techniques
27276,Valeur technique,Prix des prestations
27277,Qualité de la description technique des équipements proposés et du mémoire technique - 25 ; Organisation,Prix : Coût annuel de la maintenance
27278,Valeur technique,Prix des prestations
27280,Prix des prestations,Mémoire justificatif
27281,Le prix,La valeur technique
27284,Prix,Qualité des solutions techniques
27285,Valeur technique de loffre,Prix des prestations
27286,Qualité,Prix des prestations
27287,Valeur technique ( moyens humains affectés au marché (35% / organisation proposée par le candidat (35% ,Prix des prestations
27288,Valeur technique,Valeur technique : Eléments méthodologiques
27293,prix unitaire (m3 le plus bas,respect des délais de livraison : Jeudi 09 juillet 2015
27295,Valeur technique de loffre basée sur la démonstration 30 % (maniabilité,Prix
27297,Prix des prestations,Valeur technique (Qualité de la DPGF
27298,Valeur technique : au regard du mémoire technique : - Choix des composants principaux (disjoncteurs,Prix des prestations : Prix unitaire de chaque tableau (hors matériel GPMB. (20 - Valorisation des matériels fournis par le GPMB. (10
27299,Prix,Valeur technique
27303,Valeur technique,Prix
27305,Valeur technique de loffre,Prix
27320,Prix des prestations,Valeur technique notée en fonction du DART et des fiches techniques
27321,Prix,Valeur technique et environnementale
27333,Prix des prestations sur la base du DQE représentant la consommation annuelle,Valeur technique
27334,Prix,Valeur technique et environnementale
27340,Coûts (détails dans le règlement de consultation,Valeur technique (détails dans le règlement de consultation
27341,Valeur technique,prix
27345,Valeur technique,Prix
27346,Prix,Valeur technique
27350,Programme détaillé de chacune des sessions,Organisation et méthodes pédagogiques
27355,Prix,Valeur technique de loffre
